"ID","FIPS","Label","Address","State","Zip","Category","Notes","address","formatted_address","lng","lat"
"35","","enLIGHTenSC","808 Knox Abbott Drive","SC","29033","Education","","enLIGHTenSC, SC, 808 Knox Abbott Drive","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"36","","Washinton Youth Tour and Cooperative Youth Summit","2799 Richmond Hwy","VA","22202","Youth Development","","Washinton Youth Tour and Cooperative Youth Summit, VA, 2799 Richmond Hwy","Richmond Hwy, Virginia, USA",-77.13520869999999,38.7158204
"37","","South Carolina Living","808 Knox Abbott Drive","SC","29210","Press","","South Carolina Living, SC, 808 Knox Abbott Drive","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"38","","Touchstone Energy's Co-op Connections","4301 Wilson Blvd","VA","22203","Community Development","Free membership program that provides discounts on food, health services. ","Touchstone Energy's Co-op Connections, VA, 4301 Wilson Blvd","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"39","","South Carolina 811","810 Dutch Square Blvd.","SC","29210","Infrastructure","Before you dig center for the state for underground utility lines.","South Carolina 811, SC, 810 Dutch Square Blvd.","7316, 810 Dutch Square Blvd, Columbia, SC 29210, United States",-81.094522,34.034118
"40","","CoBank","6340 S. Fiddlers Green Circle","CO","80111","Finance","","CoBank, CO, 6340 S. Fiddlers Green Circle","1908, 6340 S Fiddlers Green Cir, Greenwood Village, CO 80111, United States",-104.891414,39.6034143
"41","","No Barriers","224 Canyon Ave, Suite 207","CO","80521","Education","Disabled Veteran Eduation Program","No Barriers, CO, 224 Canyon Ave, Suite 207","224 Canyon Ave Suite #207, Fort Collins, CO 80521, USA",-105.0808557,40.5852901
"42","","Help My House","","SC","","Economic Development","Low cost loans for energy efficiency improvements up to 35% reduction in bills","Help My House, SC, ","7205 Two Notch Rd, Columbia, SC 29223, USA",-80.95787469999999,34.0646676
"43","","Energy Smart SC","","SC","","Education ","Beat the Peak","Energy Smart SC, SC, ","10 Executive Ct, Clover, SC 29710, USA",-81.0453347,35.11037779999999
"44","","SC Green Power","","SC","","Services","Renewable energy","SC Green Power, SC, ","2998 W Montague Ave Suite 108, North Charleston, SC 29418, USA",-80.013324,32.8684662
"45","","U.S. Department of Energy","1000 Independence Ave, SW","DC","20585","Federal Support","","U.S. Department of Energy, DC, 1000 Independence Ave, SW","1000 Independence Ave SW, Washington, DC 20585, USA",-77.0259726,38.8869743
"46","","North Eastern Strategic Alliance ","P.O. Box 100547","SC","29502","Regional Economic Development","","North Eastern Strategic Alliance , SC, P.O. Box 100547","121 S Evander Dr, Florence, SC 29506, USA",-79.65837619999999,34.1953997
"47","","South Carolina Chamber of Commerce","1301 Gervais Street, Suite 1100","SC","29201","State Government","","South Carolina Chamber of Commerce, SC, 1301 Gervais Street, Suite 1100","1301 Gervais St #1100, Columbia, SC 29201, USA",-81.031601,34.002201
"48","","South Carolina Department of Commerce","1201 Main Street, Suite 1600","SC","29201","State Government","","South Carolina Department of Commerce, SC, 1201 Main Street, Suite 1600","1201 Main St # 1600, Columbia, SC 29201, USA",-81.03467479999999,34.0013716
"49","","South Carolina Association of Heating & A/C Contractors","PO Box 80265","SC","29416","Services/Construction","","South Carolina Association of Heating & A/C Contractors, SC, PO Box 80265","South Carolina, USA",-81.1637245,33.836081
"50","","Hilton Head Island Sea Turtle Protection Project","PO Box 23434","SC","29925","Education","","Hilton Head Island Sea Turtle Protection Project, SC, PO Box 23434","Hilton Head Island, SC, USA",-80.752608,32.216316
"51","","Discovery Channel School","One Discovery Place ","MD","20910","Youth Education ","","Discovery Channel School, MD, One Discovery Place ","1 Discovery Pl, Silver Spring, MD 20910, USA",-77.0276063,38.9947766
"52","","Santee Cooper","1 Riverwood Drive","SC","29461","Distribution","","Santee Cooper, SC, 1 Riverwood Drive","1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.9805852,33.199181
"53","","Congaree National Park","100 National Park Road","SC","29061","Press","Green Power Partner","Congaree National Park, SC, 100 National Park Road","Congaree National Park, 100 National Park Rd, Hopkins, SC 29061, USA",-80.7424377,33.787132
"54","","Starbucks Coffee","2401 Utah Ave S, 8th floor","WA","98134","Press","Green Power Partner","Starbucks Coffee, WA, 2401 Utah Ave S, 8th floor","2401 Utah Ave S 8th floor, Seattle, WA 98134, USA",-122.3353619,47.5807515
"55","","Operation Round-Up","","","","Community Development","Rounds up bills to help others in community who are struggling with finances. Need to get info on projects funded from operation round up","Operation Round-Up, , ",,,
"56","","Palmetto Economic Development Coorporation ","1201 Main Street, Ste 1710","SC","29201","Economic Development","","Palmetto Economic Development Coorporation , SC, 1201 Main Street, Ste 1710","1201 Main St #250, Columbia, SC 29201, USA",-81.0348008,34.0012126
"57","","WIRE (Women Involved in Rural Electrification) ","","SC","","Community Development","","WIRE (Women Involved in Rural Electrification) , SC, ","South Carolina, USA",-81.1637245,33.836081
"58","","Alliance Park Anderson County ","411 Alliance Pkwy","SC","29621","Power Site","Industrial park power site","Alliance Park Anderson County , SC, 411 Alliance Pkwy","411 Alliance Pkwy, Anderson, SC 29621, USA",-82.5997008,34.6288825
"59","","Golden Corner","Hwy 59 Cleveland Creek Rd","SC","29643","Power Site","Industrial park power site","Golden Corner, SC, Hwy 59 Cleveland Creek Rd","SC-59 & Cleveland Creek Rd, Fair Play, SC 29643, USA",-82.98828999999999,34.5181759
"60","","TTI","100 Ryobi Drive","SC","29621","Power Site","Industrial park power site","TTI, SC, 100 Ryobi Drive","100 Ryobi Drive, Anderson, SC 29621, USA",-82.61178079999999,34.6324708
"61","","Alliance Park Pickens","1390 Smith Grove Rd","SC","29657","Power Site","Industrial park power site","Alliance Park Pickens, SC, 1390 Smith Grove Rd","1390 Smith Grove Rd, Liberty, SC 29657, USA",-82.6549058,34.7925605
"62","","OITP","4271 SC-11","SC","29693","Power Site","Industrial park power site","OITP, SC, 4271 SC-11","4271 SC-11, Westminster, SC 29693, USA",-83.0478744,34.6972629
"63","","South Carolina I-77 Alliiance","3200 Commerce Dr., Suite D","SC","29729","Economic Development","","South Carolina I-77 Alliiance, SC, 3200 Commerce Dr., Suite D","3200 Commerce Dr, Richburg, SC 29729, USA",-81.034353,34.749939
"64","","York County Economic Development","1830 2nd Baxter Crossing ","SC","29708","Economic Development","","York County Economic Development, SC, 1830 2nd Baxter Crossing ","1830 2nd Baxter Crossing, Fort Mill, SC 29708, USA",-80.96903999999999,35.029472
"65","","Colleton Solar Farm","1751 Hiers Corner Road","SC","29488","Solar","Solar Farm","Colleton Solar Farm, SC, 1751 Hiers Corner Road","1751 Hiers Corner Rd, Walterboro, SC 29488, USA",-80.6943798,32.9111571
"66","","MySCSolar","808 Knox Abbot Drive","SC","29033","Solar","","MySCSolar, SC, 808 Knox Abbot Drive","South Carolina, USA",-81.1637245,33.836081
"67","","Carolina Connect","P.O. Box 1667","SC","29071","Internet","","Carolina Connect, SC, P.O. Box 1667",,,
"68","","Chesterfield County Economic Development Board","105 Green Street","SC","29709","Economic Development","","Chesterfield County Economic Development Board, SC, 105 Green Street","105 Green St, Chesterfield, SC 29709, USA",-80.0853352,34.7364514
"69","","Clarendon County Development Board","411 Sunset Dr","SC","29102","Economic Development","","Clarendon County Development Board, SC, 411 Sunset Dr","Clarendon County Administration Building, 411 Sunset Dr, Manning, SC 29102, USA",-80.2222845,33.6878753
"70","","Kershaw County Economic Development Office","80 Campus Dr. ","SC","29021","Economic Development","","Kershaw County Economic Development Office, SC, 80 Campus Dr. ","95 Innovation Way, Camden, SC 29020, USA",-80.58685469999999,34.2194027
"71","","Florence County Economic Development Partnership","1951 Pisgah Road","SC","29501","Economic Development","","Florence County Economic Development Partnership, SC, 1951 Pisgah Road","SiMT Incubator Building, 1951 Pisgah Rd #120, Florence, SC 29501, USA",-79.8043486,34.2485438
"72","","Georgetown County Economic Development","716 Prince St","SC","29440","Economic Development","","Georgetown County Economic Development, SC, 716 Prince St","716 Prince St, Georgetown, SC 29440, USA",-79.28159079999999,33.3673749
"73","","Williamsburg County Economic Development Board","130 West Main Street","SC","29556","Economic Development","","Williamsburg County Economic Development Board, SC, 130 West Main Street","130 W Main St, Kingstree, SC 29556, USA",-79.83129199999999,33.6639194
